标题,智能体/应用,链接,分类
大圣教学｜稳定调用工作流,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7475751045009063945](https://www.coze.cn/space/7362748064240877602/bot/7475751045009063945),
大圣教学｜小红书浓人,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7453480277986820105](https://www.coze.cn/space/7362748064240877602/bot/7453480277986820105),
大圣教学｜开始节点与结束节点,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7445726620109406242](https://www.coze.cn/space/7362748064240877602/bot/7445726620109406242),"[""节点""]"
大圣教学｜文本节点,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7446107717607292980](https://www.coze.cn/space/7362748064240877602/bot/7446107717607292980),"[""节点""]"
大圣教学｜意图识别节点,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7446131127791976448](https://www.coze.cn/space/7362748064240877602/bot/7446131127791976448),"[""节点""]"
大圣教学｜变量聚合节点,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7449046484110098486](https://www.coze.cn/space/7362748064240877602/bot/7449046484110098486),"[""节点""]"
大圣教学｜输入和输出节点,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7446603257080021029](https://www.coze.cn/space/7362748064240877602/bot/7446603257080021029),"[""节点""]"
大圣教学｜飞书云文档,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7446781515214290984](https://www.coze.cn/space/7362748064240877602/bot/7446781515214290984),
大圣教学｜变量节点,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7446104713067757620](https://www.coze.cn/space/7362748064240877602/bot/7446104713067757620),"[""节点""]"
大圣教学｜知识库节点（表格）,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7459411886451621897](https://www.coze.cn/space/7362748064240877602/bot/7459411886451621897),"[""节点""]"
大圣教学｜万物皆可进化,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7485558372620861494](https://www.coze.cn/space/7362748064240877602/bot/7485558372620861494),
大圣教学｜初阶｜抖音改写小红书,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7458268614979223552](https://www.coze.cn/space/7362748064240877602/bot/7458268614979223552),"[""初阶""]"
大圣教学｜飞书多维表格（新增和搜索）,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7461645682140119076](https://www.coze.cn/space/7362748064240877602/bot/7461645682140119076),"[""多维表格""]"
大圣教学｜初阶｜英语聊天助手,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7458251843609903167](https://www.coze.cn/space/7362748064240877602/bot/7458251843609903167),"[""初阶""]"
大圣教学｜飞书多维表格（新增记录）,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7446802035942768675](https://www.coze.cn/space/7362748064240877602/bot/7446802035942768675),"[""多维表格""]"
大圣教学｜官方案例｜答案之书,"[""应用""]",[https://www.coze.cn/space/7362748064240877602/project-ide/7468989046933536831](https://www.coze.cn/space/7362748064240877602/project-ide/7468989046933536831),
大圣教学｜官方案例｜创意写真馆,"[""应用""]",[https://www.coze.cn/space/7362748064240877602/project-ide/7468647486576885796](https://www.coze.cn/space/7362748064240877602/project-ide/7468647486576885796),
大圣教学｜AI应用展示组件,"[""应用""]",[https://www.coze.cn/space/7362748064240877602/project-ide/7468616510857379890](https://www.coze.cn/space/7362748064240877602/project-ide/7468616510857379890),
大圣教学｜AI应用其余输入组件（空）,"[""应用""]",[https://www.coze.cn/space/7362748064240877602/project-ide/7468623800909774874](https://www.coze.cn/space/7362748064240877602/project-ide/7468623800909774874),
大圣教学｜图片与文件上传组件,"[""应用""]",[https://www.coze.cn/space/7362748064240877602/project-ide/7462985237455552564](https://www.coze.cn/space/7362748064240877602/project-ide/7462985237455552564),
大圣教学｜表单组件,"[""应用""]",[https://www.coze.cn/space/7362748064240877602/project-ide/7462812079348252672](https://www.coze.cn/space/7362748064240877602/project-ide/7462812079348252672),
大圣教学｜容器（空）,"[""应用""]",[https://www.coze.cn/space/7362748064240877602/project-ide/7462790128738779136](https://www.coze.cn/space/7362748064240877602/project-ide/7462790128738779136),
大圣教学｜AI翻译应用,"[""应用""]",[https://www.coze.cn/space/7362748064240877602/project-ide/7462650039581130752](https://www.coze.cn/space/7362748064240877602/project-ide/7462650039581130752),
大圣教学｜简单数据库节点,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7483043286782050304](https://www.coze.cn/space/7362748064240877602/bot/7483043286782050304),"[""节点""]"
大圣教学｜高级案例｜单词卡片,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7458567110731087881](https://www.coze.cn/space/7362748064240877602/bot/7458567110731087881),"[""高阶""]"
大圣教学｜初阶｜行业调研专家,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7482431884463702052](https://www.coze.cn/space/7362748064240877602/bot/7482431884463702052),"[""初阶""]"
大圣教学｜落地案例｜抖音数据采集,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7478889129640591412](https://www.coze.cn/space/7362748064240877602/bot/7478889129640591412),"[""高阶""]"
大圣教学｜插件调试,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7453638030729936930](https://www.coze.cn/space/7362748064240877602/bot/7453638030729936930),"[""插件""]"
大圣教学｜中级案例｜小红书采集,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7476831782273777718](https://www.coze.cn/space/7362748064240877602/bot/7476831782273777718),"[""中阶""]"
大圣教学｜高阶案例｜谁是卧底,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7474623748986601487](https://www.coze.cn/space/7362748064240877602/bot/7474623748986601487),"[""高阶""]"
大圣教学｜中级案例｜AI日报长图,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7471196385732362294](https://www.coze.cn/space/7362748064240877602/bot/7471196385732362294),"[""中阶""]"
大圣教学｜中级案例｜抖音信息采集,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7465615952911761420](https://www.coze.cn/space/7362748064240877602/bot/7465615952911761420),"[""中阶""]"
大圣教学｜高阶案例｜淘票票电影海报,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7450529482509238311](https://www.coze.cn/space/7362748064240877602/bot/7450529482509238311),"[""高阶""]"
大圣教学｜Coze卡片学习,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7468562446152761384](https://www.coze.cn/space/7362748064240877602/bot/7468562446152761384),
大圣教学｜初阶｜合同审查,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7468287256923979787](https://www.coze.cn/space/7362748064240877602/bot/7468287256923979787),"[""初阶""]"
大圣教学｜初阶｜图片风格转换,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7458503166599184410](https://www.coze.cn/space/7362748064240877602/bot/7458503166599184410),"[""初阶""]"
大圣教学｜中级案例｜智能客服,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7468164003694084134](https://www.coze.cn/space/7362748064240877602/bot/7468164003694084134),"[""中阶""]"
大圣教学｜中级案例｜电影信息补充,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7468173814359932969](https://www.coze.cn/space/7362748064240877602/bot/7468173814359932969),"[""中阶""]"
大圣教学｜IDE自定义插件,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7467843737629245452](https://www.coze.cn/space/7362748064240877602/bot/7467843737629245452),"[""插件""]"
大圣教学｜API自定义插件,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7467820562095095820](https://www.coze.cn/space/7362748064240877602/bot/7467820562095095820),"[""插件""]"
大圣教学｜飞书授权,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7466721587300073506](https://www.coze.cn/space/7362748064240877602/bot/7466721587300073506),
大圣教学｜数据库教学,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7466661005541261348](https://www.coze.cn/space/7362748064240877602/bot/7466661005541261348),
大圣教学｜数据库多用户模式,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7449778996415954944](https://www.coze.cn/space/7362748064240877602/bot/7449778996415954944),
大圣教学｜数据库单用户模式,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7449772763633844243](https://www.coze.cn/space/7362748064240877602/bot/7449772763633844243),
大圣教学｜大模型节点,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7445898920691712041](https://www.coze.cn/space/7362748064240877602/bot/7445898920691712041),"[""节点""]"
大圣教学｜图像生成节点,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7446129437202497547](https://www.coze.cn/space/7362748064240877602/bot/7446129437202497547),"[""节点""]"
大圣教学｜初阶｜制作单词闪卡,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7458452417706328104](https://www.coze.cn/space/7362748064240877602/bot/7458452417706328104),"[""初阶""]"
大圣教学｜公众号总结助手,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7453488889778028554](https://www.coze.cn/space/7362748064240877602/bot/7453488889778028554),
大圣教学｜代码节点,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7449056942523285554](https://www.coze.cn/space/7362748064240877602/bot/7449056942523285554),"[""节点""]"
大圣教学｜对话流,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7460137865033629736](https://www.coze.cn/space/7362748064240877602/bot/7460137865033629736),
大圣教学｜上下文&会话原理,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7460111292972728354](https://www.coze.cn/space/7362748064240877602/bot/7460111292972728354),
大圣教学｜知识库节点（图片）,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7459411106814722100](https://www.coze.cn/space/7362748064240877602/bot/7459411106814722100),"[""节点""]"
大圣教学｜知识库节点（文本）,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7459411195222147084](https://www.coze.cn/space/7362748064240877602/bot/7459411195222147084),"[""节点""]"
大圣教学｜知识库节点（工作流）,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7446623496387592226](https://www.coze.cn/space/7362748064240877602/bot/7446623496387592226),"[""节点""]"
大圣教学｜循环节点,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7446711343103033383](https://www.coze.cn/space/7362748064240877602/bot/7446711343103033383),"[""节点""]"
大圣教学｜批处理节点,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7446739557267046410](https://www.coze.cn/space/7362748064240877602/bot/7446739557267046410),"[""节点""]"
大圣教学｜选择器节点,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7446116490988339240](https://www.coze.cn/space/7362748064240877602/bot/7446116490988339240),"[""节点""]"
大圣教学｜音乐大模型,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7450509929976283175](https://www.coze.cn/space/7362748064240877602/bot/7450509929976283175),
大圣教学｜链接读取插件,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7450506991908716607](https://www.coze.cn/space/7362748064240877602/bot/7450506991908716607),"[""插件""]"
大圣教学｜文档读取插件,"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7449785968766681099](https://www.coze.cn/space/7362748064240877602/bot/7449785968766681099),"[""插件""]"
大圣教学｜淘票票电影海报(豆包卡片),"[""智能体""]",[https://www.coze.cn/space/7362748064240877602/bot/7454100459511398427](https://www.coze.cn/space/7362748064240877602/bot/7454100459511398427),"[""高阶""]"
