编号,您期望在捏bot活动中组队定位-其他-补...,您目前对于coze的熟悉程度,您期望在捏bot活动中组队定位,提交时间,"畅所欲言, 随便说~",请问您期望从Agent活动中获得什么？,提交人
46,,"[""捏过>=3个bot但不精通""]","[""我想负责进度""]",2024-05-25 16:04:20,无,了解扣子平台的使用,"[{""id"": ""ou_e54da6afe7e1db05c5cdf60fd7e59ab5"", ""name"": ""Jason""}]"
47,,"[""了解Coze的组件""]","[""我想负责工作流/工具""]",2024-05-25 16:51:57,,最初在“赛博禅心”公众号了解到Coze捏bot，今天看waytoagi每日推送刚好又发现了这个活动，想通过这个agent以赛促学,"[{""id"": ""ou_337fc16511ad3890b4b8d2f16d37e356"", ""name"": ""冉思依""}]"
48,,"[""捏过>=3个bot但不精通""]","[""我想负责工作流/工具""]",2024-05-25 21:43:46,,深入了解bot能做什么，自己需要以战代练,"[{""id"": ""ou_19bd7af83ade7862dfb6059c21cfe2b8"", ""name"": ""会魔法的大人""}]"
49,,"[""捏过>=3个bot但不精通""]","[""我想负责进度""]",2024-05-26 05:52:36,希望不要被资本左右，社区要不忘初心,实现自己无代码或者中文编程的理想,"[{""id"": ""ou_f3a34890538ea97ca009f82bdcbc9802"", ""name"": ""笨笨v泡泡""}]"
50,,"[""捏过>=3个bot但不精通""]","[""我想负责工作流/工具""]",2024-05-26 19:34:46,,进步,"[{""id"": ""ou_3747962f2804a3964e0e58e4ba217a43"", ""name"": ""yuyu""}]"
51,,"[""捏过<3个bot""]","[""我想负责工作流/工具""]",2024-05-26 19:44:06,,"生命短暂,希望在值得深耕的领域中,与志同道合的朋友一起开展交流,在这个过程中收获认同和友情.","[{""id"": ""ou_2df3d70deae44f112b889d53ad3e006f"", ""name"": ""毛伦""}]"
52,,"[""捏过<3个bot""]","[""我想负责创意""]",2024-05-26 21:23:08,老师们基本都是义务讲课，可以不用准备特别充分来讲，整体设计更多的互动环节。 在评论区能发现很多人都自己捏过一些了，而且都在日常的工作中有使用到。可以让大家一起讨论。或者设计成不断地问题引导，氛围会更好。ai时代创意最重要。,学习思路和执行细节。通过交流了解最新的进展和创意。,"[{""id"": ""ou_7036441992d4c8b4d9b9ba9dc71dbe7d"", ""name"": ""曾志远""}]"
53,,"[""捏过<3个bot""]","[""我想负责创意""]",2024-05-27 11:04:34,1. 相互技术分享 2. 如果一起做项目，希望每周有固定的时间投入和交流例会，或者飞书文档异步高效协同,1. 提供自己的创意想法，发挥AI绘图sd/mj的技能 2. 向团队成员学习coze工作流的搭建，交流产品、技术的知识、经验 3. 制作出可以使用的、效果良好的作品,"[{""id"": ""ou_12ba1d9664e190b61cee9310d0844fb9"", ""name"": ""金玥""}]"
54,,"[""捏过>=3个bot但不精通""]","[""我想负责工作流/工具""]",2024-05-27 17:53:37,很棒的活动,以赛代练，研究AI的应用落地，寻找适合自己的方式、方向,"[{""id"": ""ou_20123d65af2410f0230086153c6ad176"", ""name"": ""贾栾""}]"
55,,"[""了解Coze的组件""]","[""我想负责创意""]",2024-05-27 21:10:51,,实践胜于万卷书,"[{""id"": ""ou_8b30456979b8c3db6fa5fe153ccc528e"", ""name"": ""成杰""}]"
56,,"[""完全小白""]","[""其他""]",2024-05-28 07:16:52,向大家学习，,希望和各位朋友一起成长，赚点生活费,"[{""id"": ""ou_90144e063f745fc36b955fc79f086168"", ""name"": ""张雷""}]"
57,,"[""了解Coze的组件""]","[""我想负责创意""]",2024-05-28 22:06:44,突然不知道说什么，给同样非技术学习AI的童鞋打气：不管是什么产品选择的方向应该更大众化，更亲民才会更容易成功，把AI从程序员身边的各种习惯中抽出来，面向普罗大众，就算没有走到AGI，也已经走向了成功，所以AI界是需要非技术的童鞋参与的！！！,一起学习前进的搭子，以及遥远却无限美好的未来,"[{""id"": ""ou_ca0997ea0679f093d200941390149dbe"", ""name"": ""lxl-李晓林""}]"
58,,"[""捏过>=3个bot但不精通""]","[""我想负责创意""]",2024-06-02 18:42:53,,了解最前沿的agent动态,"[{""id"": ""ou_804028f9e0c64b68a0dbff594d46c9cf"", ""name"": ""张芙榕""}]"
59,,"[""捏过>=3个bot但不精通""]","[""我想负责进度""]",2024-06-03 17:31:55,超级新闻官小组报名～,有好的作品,"[{""id"": ""ou_d245460a9d6ce0d1771f381f0ffc6119"", ""name"": ""星河""}]"
60,,"[""捏过>=3个bot但不精通""]","[""我想负责创意""]",2024-06-04 20:44:50,,动手实操起来，认识热爱AI的朋友们,"[{""id"": ""ou_3c3837cf79ea11ad8dc0acf68bf0c556"", ""name"": ""Andres""}]"
61,,"[""完全小白""]","[""我想负责创意""]",2024-06-07 14:42:03,,体验，我最近在研究和学习AI，作为一名互联网运营，我希望了解现在有哪些好的应用场景,"[{""id"": ""ou_6ff0b1625c84a78ade8c40d4c3a25526"", ""name"": ""may雪梅""}]"
62,,"[""了解Coze的组件""]","[""我想负责工作流/工具""]",2026-03-05 23:55:44,扣子的活动有时候显示不全,学习和锻炼,"[{""id"": ""ou_ddbc55790c5d977bbffb6510aa2a49b1"", ""name"": ""潘文良""}]"
