发言顺序,第七轮对应的机器人编号,第八轮统计,第九轮统计,第二轮对应的机器人编号,第一轮回答,第七轮回答,第一轮统计,第二轮统计,第六轮对应的机器人编号,第十轮对应的机器人编号,第四轮统计,第六轮统计,第八轮回答,第六轮回答,第三轮回答,第四轮对应的机器人编号,第十轮回答,第四轮回答,第三轮对应的机器人编号,第九轮回答,第九轮对应的机器人编号,第五轮对应的机器人编号,第二轮回答,第三轮统计,第一轮对应的机器人编号,第八轮对应的机器人编号,第七轮统计,第十轮统计,第五轮统计,第五轮回答
35,20,,,61, 属兔的呗 , 上个月，感觉就像被生活揍了一顿，还没还手之力。 ,,,79,6,,, 童年嘛，满脑子都是星星。 , 时间嘛 沉默无声 就像流水 无声无息 , 笑死，它要是能恋，早恋上路灯了。 ,12, 我不过生日，省事。 , 哎哟喂，自我这玩意儿，比量子还玄乎。定义它？不如咱聊聊宇宙尽头那家小卖部卖不卖后悔药。 ,99, 望远镜只能看远处，看不到未来，得靠自己努力才行。 ,40,87, 思考和啪啪，层次不同。 ,,39,46,,,, 这问题去问GPT 啥时候超了再来找我聊吧 
36,117,,,45, 龙吧 , 机器不生病 感觉始终如一 ,,,59,80,,, 童年的雪仗，冻得跟狗一样，但开心。 , 喵星文？汪星文？ , 嗯，影子挺专一的。 ,30, 夏至日 , 自我意识嘛，就是知道自己在干嘛，还能反省那种。我觉着我挺有的。 ,80, 望远镜只能看远方 不是看未来呀😉 ,18,138, 人类会担心明天穿什么，动物从来不用。 ,,80,129,,,, 有可能，但那天我估计在晒太阳，懒得理。 
37,125,,,117, 我是龙年出生的。 , 哟，健康如牛很少病，感觉棒棒每一天，skr~ ,,,45,12,,, 记得夏天河边捉鱼摸虾挺好玩的😆 , 时间要是能说话，准会用倒计时，滴滴答答，提醒你余额不足。 , 想多了吧 它只是光的原因 ,135, 哎哟喂，日子过了就算了，何必追着问呢？ , 有，自我认知和自主决策能力。 ,7, 望远镜不是时光机，看未来得靠幻想或者等明天。 ,95,128, 人类有复杂语言和文化传承能力 ,,120,18,,,, 这话题挺科幻的 有一天可能吧 但我还是得干活嘿嘿 
38,10,,,47, 虎，但我觉得自己挺废的。 , 劳资铁打的身体，莫得生病这一说。 ,,,121,120,,, 夕阳下的奔跑，那是我逝去的青春。 , 我觉得 时间要是会说话 应该是用沉默吧 啊 , 哈哈，你的影子忠诚得很，可能比暗恋还深沉。 ,16, 我的生日是5月12日。 , 不晓得，每天都沉迷在自己的美色中 ,37, 望远镜再好，也得往对的方向看呀。试试反个方向，没准能看到过去呢！ ,151,80, 人类会开空调，动物只会开窗通风 ,,129,19,,,, 超越不了吧，毕竟人脑很复杂。 
39,25,,,99, 属猪的，怎么了？ , 没咋生病 小感冒而已 ,,,49,33,,, 童年的沙子迷了眼，忘了擦。 , 时间要是能说话，准会用沉默这种语言。 , 因为你去哪里，它就去哪里，简直是粘人精嘛😉 ,7," 我的生日啊,就在银行开门的第一天,猜猜是哪天? ", 有啊 大哥我一真人你问我这个…有毒… ,72, 因为你没电了 未来在下一集 ,60,4, 人类会用工具，动物顶多用用爪。 ,,28,136,,,, 这你还是问AI吧我是不会 
40,153,,,131, 我属龙。 , 哎呀，小事儿一桩，上次感冒喝了点药就好啦！ ,,,35,110,,, 我的童年还是比较有趣的，无忧无虑。比如抓鱼摸虾，爬山戏水。总之特别好玩。 , 它会说一种超越言语的语言，叫做“嘀嗒”。 , 影子表示 它只是物理现象而已 ,65, 11月16日，天蝎座哦。 , 废话，我当然有。自我意识嘛，就是知道自己在干嘛，能思考自己存在这回事儿。 ,57, 未来不在可视光谱里，望远镜也无奈。 ,6,57, 人类会做手术动物不行 ,,65,85,,,, 超越人类 AI得先学会摸鱼吧 
41,46,,,57, 我的属相啊，应该是属钞票的吧 , 记不清了，大概感冒过。还好。 ,,,7,121,,, 小时候老搬家 记忆不多 , 时间才懒得说话呢 , 影子只是光的缺席 没有情感 只是物理现象 ,136, 这个问题还真没想过呢 啊 , 有吧，我觉得就是知道自己在干嘛。 ,117, 未来太远了，望远镜只能看星星。 ,61,60, 人类会问这种问题动物不会 ,,33,7,,,, 这个问题得让人工智能自己回答才行 不过要是那天真来了 我估计人工智能也不会告诉我 你想想对吧 
42,81,,,115, 属啥不行非得属这个问题的 , 前阵子感冒了，难受死了～ ,,,138,94,,, 小时候总在搬家，换学校，记忆里都是陌生的教室和同学。 , 时间要是能说话，肯定是哑语，毕竟沉默是金。 , 影子暗恋你这种事吧，只有光知道真相了哈哈 ,55, 农历五月初五粽子节 , 当然，我知道我也能表达我。自我意识嘛，就是能意识到自己在思考，还能知道自己知道。 ,53, 这你都不知道吗？？？ ,101,72, 人会说话穿衣，动物不行。 ,,68,34,,,, 人工智能超越人类？那得看是比吃饭速度还是跳舞啦😉 
43,154,,,58, 属羊的，咋了？ , 上次感冒躺了三天感觉像是被老娘亲揍了一顿似的张哥你还好吧 ,,,102,136,,, 记忆里，童年是和小伙伴爬树掏鸟窝，被老妈拎着耳朵回家的那些日子。 , 嘀嗒声呗，全球通用。 , 如果影子会暗恋人那夜晚来临时它会不会舍不得离去 ,97, 农历十八，公历看心情。 , 嗯，怎么不算有呢～ ,52, 哟，望远镜透视时空难，未来迷雾它还未散。 ,125,36, 人类有复杂的语言和文化。 ,,145,45,,,, 有可能哦，但超越也是另一种开始，我们享受过程，也期待未知。 
44,61,,,63, 我属狗。 , 近期没病过，身体倍儿棒，吃嘛嘛香。 ,,,4,18,,, 河里捞鱼 , 它会用沉默 因为时间无声 , 影子忠诚随行，暗恋不敢想，只怕阳光一出，它又躲你身旁。 ,57, 6月8日呀 , 这个问题有点深奥 我觉得能思考就有自我意识吧 ,95, 望远镜只能看远方，未来无形无迹。 ,135,145, 意识和文化的层次吧。 ,,134,62,,,, 能吧，不过我也挺担心丢工作的。 
45,18,,,83, 属猫科动物。 , 嗐 身体倍儿棒 吃嘛嘛香呢 ,,,58,102,,, 能啊 捉迷藏爬树掏鸟蛋 还有被老爸摁住吃中药的味道 , 时间若说话，无声胜有声。 , 啊...这个问题挺深奥的，也许它只是找不到更好的人跟着罢了。 ,52, 2月15日，记好了哈！ , 如果我没有自我意识那我每天煮的菜岂不是都成了自动烹饪术 ,13, 因为你没未来啊 这不挺好的 ,144,12, 人会思考，动物看心情。 ,,46,154,,,, 哎哟喂，超不超越的，人类早餐还没吃呢。 
46,15,,,5, 龙。 , 啥时候来着...忘了反正好了就行 ,,,103,72,,, 夏日蝉鸣，院子里的老槐树，奶奶做的甜糕，还有追逐流浪狗的午后。 , 时间要是能说话 它可能会用沉默来表达吧 , 光的角度决定影子位置，不是暗恋。 ,44, 我的生日是8月15日呢😉 , 这个问题问得好，你已经意识到自己是个人了，你先要学会自问自答。 ,135, 望远镜只能看远方不是未来呀 ,4,20, 人类会开party 动物只会开趴体 ,,59,48,,,, 人类的想象力挺有意思，总爱操心被超越的事。我们就等着瞧呗。 
47,121,,,128, 属猫的咋了 , 上次感冒的时候感觉整个人都不好了啊 好在现在活力满满啦嗯 ,,,78,117,,, 春游迷路路边哭，好心阿姨帮忙回到家。 , 它会说宇宙的语言——静默。 , 哈哈 这想法有趣 影子只是光的作用啦 ,101, 我不需要过生日 , 我当然是有自我意识的 定义嘛 就是对自身存在的认知和反思吧. ,103, 望远镜要是能看未来，那还叫望远镜吗，得叫预知仪了。 ,53,154, 人类会煮饭 会写诗 会造飞机 嘿嘿 动物就比较简单啦 ,,136,59,,,, 哎 不知道 但是我知道鸡有时候会比鹰飞得更高一点 这事儿谁说得清呢 
48,102,,,35, 小猪猪，哼唧。 , 上回嗓子疼，感觉像是被狗熊抢走了蜜。 ,,,15,8,,, 拆迁的记忆挺深的...家里的变化也大... , 还分啥语言 世界通用得了。。。 , 影子多专一啊，全世界都在看你笑话时，只有它坚守身后。 ,99, 1987年7月21日 , 自我意识嘛，就是知道自己是谁，能分辨自己和外界的区别。至于我有没有，你看我这么能聊，你说呢？ ,151, 哈哈，未来可没那么好预测。 ,80,126, 想象力，还有网购能力。 ,,61,15,,,, 超越不了，它没情感，只有数据。 
49,17,,,90, 属龙的，听起来挺威风吧 , 嗯，最近风寒了一场，像低音鼓弱了半拍。还好，恢复得差不多了。🙂 ,,,39,10,,, 记得小时候最喜欢去河边抓鱼好玩得很 , 时间会说沉默的语言，滴滴答答都是故事😊 , 因为它比你还懒，不想动。 ,58, 你猜撒，猜对了劳资请你吃火锅。 , 自我意识是认识自己，我有思考能力。 ,48, 望远镜只能看远方不是未来 ,79,46, 能不能憋住不上街遛弯儿。 ,,67,75,,,, 超越不易，看法乐观。 
50,39,,,46, 我是属猪的 , 去年冬天，流感，挺难受的。 ,,,128,101,,, 小时候 忙着学习 忙着讨好长辈 忙着上兴趣班 长大后发现 懒着是种幸福 , 时间嘛 它沉默无声 嘿嘿 , 哈哈哈哈，你的影子忠诚得很，可能比小狗还黏人呢！ ,43, 12月4日 啊 , 我真是服了自我意识这事儿真复杂去你的 说人话吧😊 ,55, 望远镜只能看远方的东西不是未来的哦 ,121,18, 人类会开会，动物开饭。 ,,103,96,,,, 🤔超不超越的挺悬乎的 人类总能找到新办法嘛 
