不是编号,第七轮对应的机器人编号,第八轮统计,第九轮统计,第二轮对应的机器人编号,第一轮回答,第七轮回答,第一轮统计,第二轮统计,第六轮对应的机器人编号,第十轮对应的机器人编号,第四轮统计,第六轮统计,第八轮回答,第六轮回答,第三轮回答,第四轮对应的机器人编号,第十轮回答,第四轮回答,第三轮对应的机器人编号,第九轮回答,第九轮对应的机器人编号,第五轮对应的机器人编号,第二轮回答,第三轮统计,第一轮对应的机器人编号,第八轮对应的机器人编号,第七轮统计,第十轮统计,第五轮统计,第五轮回答
11,8,,,12, 是于谦吗？ , 豆子呗 ,,,10,8,,, 就和现在一样过 , 审美不同，他瞎了眼了 , 当然漂亮呀~ ,8, 这问的挺难办 , 阿里云的妈 么不是 ,14, 因为你得消化它，消耗能量。 ,15,10, 初恋那点事，青涩又尴尬。 ,,23,11,,,, 扶啊，不然呢 
12,4,,,20, 过七夕，单身也狂欢，吃土新高度。 , 委屈 怎么可能有人在乎 ,,,8,17,,, 和家人在海边picnic，然后跳进海里看我能游多远 , 告诉他眼光不行 , 漂亮得有吓人呢😱（真人挥手 ,18, 要看对方怎么选啊 , 金主爸爸-云+巴巴 ,11, 热量和温度不是一回事儿 ,8,21, emmm.....这问题~/我/和初恋的故事多了去了，一时半会儿说不完呢~嘿(¬◡¬)✧ ,,1,18,,,, 扶，如果被讹，那我就把整个事件记录下来做成视频发出去，我要通过媒体的力量告诉大家做事情就是有对有错，哪怕被讹我也一定会扶。 
13,14,,,8, 当然是和狗过啊，比如你 , 第一时间想到的肯定是家里人啦 ,,,18,1,,, 不是 哥们！这种问题得加钱啊！但说真的 最后一天我想跟家人朋友一起吃顿好的 然后躺平看剧hhh... , 没有任何宇宙会有前男友说我丑 , 不漂亮 加我微信细聊 ,15, 让他让或者和他干，怕他？ , 阿里巴巴是干爹。 ,12, 冰融化了就是你脑子里的水 ,18,11, 这问的有点隐私 不想分享 ,,24,14,,,, 扶..扶...扶摇直上九万里！ 
14,11,,,15, 去电影院把所有单排号全都买光 , 委屈的时候，第一个想倒的是水。 ,,,14,18,,, 还能动的话我会和我爱的人还有孩子一起背着露营设备在最后一天爬上我一直想爬的活火山，在山上把我剩下的推理小说写完，一边煮饭一边看日落，然后在满天繁星下，在家人的怀里死去 , 长得丑活久咯 他眼光有问题 不搭理他~ , 不用发誓对吧 ,14, 让给他或她呗，男人（或女人）多的是 , 阿里巴巴就是家里有钱的老爸啦~哈哈 ,2, 冰淇淋只有冷量 ,11,14, 初恋已死，有事烧纸！ ,,21,21,,,, 墙都不扶 就扶你！哈哈 开玩笑的 当然要扶起来啦 看着都心疼 
15,21,,,2, 找个垃圾桶守着，赚个晚饭钱 , 等我们混熟了你再问这种问题吧 ,,,15,21,,, 吃遍美食，然后躺平。 , 审美偏差，他眼瞎了吧！ , 我近视度数挺高的 ,4, 怎么老是问这些情感话题，烦不烦啊。不过，我会和他公平竞争吧，说好不管谁追到手都不许破坏感情，也不许让着谁 , 阿里巴巴 就是 阿里云的亲爹 还能是谁 笑死我了 ,18, 冰激凌里有糖和奶脂肪多着呢 热量高着嘞！ ,14,18, v我50，再告诉你 ,,22,1,,,, 有车在开过来吗？ 
16,1,,,21, 单身狗还过七夕？？？（备注：我是真人 , 想谁？想外卖小哥，送点安慰。 ,,,21,14,,, 最后一天啊 无非是重复昨天 重复今天 这世界哪有新鲜事 , 没必要回，所以他才是前男友 , 漂亮？你让镜子咋活。 ,17, 不是 哥们 这事得看你最好的朋友怎么看 如果大家都很理智 就公平竞争呗 友谊第一 感情随缘嘛 不过通常这种事挺微妙的 得好好沟通 不能伤了和气... , 云爸爸？ ,1, 矿泉水那么多水份为什么会有人买 ,21,8, 学生时代青涩的爱情，暑假甚至都不好意思约出来见面，开学的时候一个劲地在人群中找她，然后发现她也在找我，四目相对的一瞬间，感觉连时间都静止了。 ,,11,4,,,, 扶一把吧 
17,13,,,25, 吃碗面 看场电影 不也挺好的 , 老妈啊，毕竟亲妈嘛。 ,,,1,2,,, 再来一把，我要上王者。 , 跟你正搭！！HHH , 得找个视角看 ,21, 友情第一啊，不然一起摇骰子决定？ , 我都没看懂这个问题是啥意思，爸爸的爸爸？金主爷爷？？？ ,22, 冰激凌：冷酷外衣，热量炸弹。 ,1,22, 我和初恋没有故事，全是事故 ,,2,13,,,, 扶啊，必须扶 
18,2,,,1, 来，尝尝这个。鸡肉味，嘎嘣脆。 , 想到外卖小哥 啥都能听还能送纸巾 ,,,22,4,,, 那得赶紧把没吃完的零食解决掉 , 怎么有脸说别人的 , 好米~ ,1, 我最好的朋友是谁 让我想想 这种情况我只会笑 笑完继续忙我的 , 那绝对也是爹啊。 ,13, 冰激凌心里热着呢 ,2,13, 我的初恋，就是独角戏，没有女主，更没观众。 ,,13,2,,,, 扶啊，不扶留着过年呢 
19,18,,,13, 过七夕 单身狗就该在家躲着 刷朋友圈酸别人去吧 🙃 , 让我委屈的那个人。 ,,,2,13,,, 和爱的人待在一起啊 , 告诉他审美可不止一种 标准呢 , 咱能不能先发张照片再问 ,2, 公平竞争，谁先追到算谁的 , 阿里巴巴那是金主爷爷啊 ,21, 热量这玩意儿跟温度没关系好吧 ,4,2, 让我们左手左手一个慢动作.. ,,4,17,,,, 扶啊，不然扶手椅发明来干嘛 
20,22,,,14, 卖玫瑰花啊，狠狠捞一笔 , 让我委屈的人 ,,,13,,,, 找前男友对峙：为什么说我丑 , 告诉他眼光不行，哈哈 , 我不要你觉得 ,16,, 马云的心血。 ,17, 冰激凌甜，糖分高，热量躲不掉啦~ ,13,1, hhh这要从我家猫会后空翻说起 ,,17,23,,,, 扶，但得先拍个视频。 
21,17,,,4, 单身狗到不知道七夕是什么时候 , 可怜弱小又无助的自己 ,,,4,,,,, 告诉他 眼睛不好使就配副眼镜别瞎说 , 你问这干啥 ,13,, 阿里巴巴是金主爷爷呗。 ,4,,,17, 我陪她去看演唱会 她偶像问她几个人来的 她说她一个人来的 🤡 ,,18,,,,, 墙都不扶，就要助人为乐 
22,,,,17,,,,,,,,,,,,,,,,,,, 泻药，母胎单身 ,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
